time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20120403:1300,2.89,31.8,483.0,676.17,139.0,213.0,3.24,311.0,97982.0
20120403:1400,2.94,34.0,400.0,646.71,120.0,217.8,3.24,313.0,97982.0
20120403:1500,2.6,37.1,262.0,402.2,128.0,224.0,3.17,315.0,97982.0
20120403:1600,1.86,40.5,170.0,481.09,66.0,228.2,2.83,314.0,98011.0
20120403:1700,0.72,46.95,50.0,244.55,28.0,240.8,2.41,315.0,98051.0
20120403:1800,-0.4,51.2,0.0,-0.0,0.0,231.2,2.14,319.0,98129.0
20120403:1900,-0.7,51.35,0.0,-0.0,0.0,222.2,2.28,333.0,98198.0
20120403:2000,-1.17,51.25,0.0,-0.0,0.0,206.6,2.62,344.0,98296.0
20120403:2100,-1.6,52.1,0.0,-0.0,0.0,200.2,2.62,350.0,98375.0
20120403:2200,-1.98,53.4,0.0,-0.0,0.0,198.6,2.41,352.0,98424.0
20120403:2300,-2.28,55.0,0.0,-0.0,0.0,198.0,2.34,356.0,98502.0
20120404:0000,-2.52,56.95,0.0,-0.0,0.0,198.4,2.14,1.0,98581.0
20120404:0100,-2.75,58.95,0.0,-0.0,0.0,199.2,1.93,2.0,98649.0
20120404:0200,-2.95,60.75,0.0,-0.0,0.0,199.0,1.72,0.0,98718.0
20120404:0300,-3.16,62.55,0.0,-0.0,0.0,199.2,1.59,357.0,98796.0
20120404:0400,-3.56,66.45,0.0,-0.0,0.0,198.8,1.45,351.0,98826.0
20120404:0500,-4.08,72.75,38.0,166.49,25.0,197.4,1.24,342.0,98865.0
20120404:0600,-2.56,59.7,159.0,463.82,64.0,196.8,1.52,345.0,98944.0
20120404:0700,-1.69,54.95,287.0,618.23,87.0,194.8,1.59,344.0,99012.0
20120404:0800,-0.59,47.2,394.0,654.87,115.0,199.6,1.52,338.0,99052.0
20120404:0900,0.46,41.6,487.0,714.23,126.0,206.2,1.45,333.0,99101.0
20120404:1000,1.43,38.05,552.0,769.37,124.0,218.2,1.38,328.0,99091.0
20120404:1100,2.47,32.55,568.0,747.63,138.0,223.6,1.31,321.0,99101.0
20120404:1200,2.93,33.3,551.0,741.93,135.0,225.4,1.31,301.0,99101.0
20120404:1300,3.43,33.4,497.0,717.98,128.0,219.8,1.59,298.0,99101.0
20120404:1400,3.7,33.8,408.0,662.01,118.0,215.6,1.79,302.0,99111.0
20120404:1500,3.51,34.65,210.0,162.61,155.0,213.0,1.93,305.0,99091.0
20120404:1600,3.0,36.05,159.0,348.03,82.0,217.8,1.72,306.0,99140.0
20120404:1700,1.86,45.0,54.0,252.41,30.0,218.6,1.38,291.0,99160.0
20120404:1800,0.69,49.6,0.0,-0.0,0.0,219.6,1.52,292.0,99238.0
20120404:1900,-0.4,60.4,0.0,-0.0,0.0,220.2,1.38,295.0,99287.0
20120404:2000,-1.32,61.55,0.0,-0.0,0.0,207.4,1.52,311.0,99375.0
20120404:2100,-2.11,64.9,0.0,-0.0,0.0,207.0,1.59,324.0,99425.0
20120404:2200,-2.62,65.85,0.0,-0.0,0.0,205.2,1.59,329.0,99483.0
20120404:2300,-3.05,67.25,0.0,-0.0,0.0,204.8,1.45,328.0,99562.0
20120405:0000,-3.39,68.5,0.0,-0.0,0.0,204.4,1.38,326.0,99611.0
20120405:0100,-3.68,69.75,0.0,-0.0,0.0,204.0,1.31,324.0,99621.0
20120405:0200,-3.88,70.2,0.0,-0.0,0.0,203.2,1.24,325.0,99650.0
20120405:0300,-3.99,69.7,0.0,-0.0,0.0,202.8,1.17,325.0,99699.0
20120405:0400,-3.99,68.35,0.0,-0.0,0.0,202.2,1.1,321.0,99709.0
20120405:0500,-3.59,64.65,42.0,177.52,27.0,201.2,0.83,314.0,99729.0
20120405:0600,-2.04,61.95,164.0,464.16,66.0,201.8,0.55,307.0,99758.0
20120405:0700,-0.14,54.8,292.0,609.7,91.0,203.2,0.62,275.0,99778.0
20120405:0800,1.68,43.85,410.0,710.59,103.0,205.6,1.17,275.0,99788.0
20120405:0900,2.95,36.6,499.0,745.23,118.0,208.6,1.72,273.0,99778.0
20120405:1000,3.88,32.05,558.0,770.58,125.0,211.0,2.0,276.0,99758.0
20120405:1100,4.56,29.65,577.0,764.75,133.0,212.6,2.0,276.0,99739.0
20120405:1200,5.0,28.6,566.0,788.02,120.0,215.4,2.0,274.0,99699.0
20120405:1300,5.31,28.3,508.0,749.39,119.0,215.0,2.07,273.0,99670.0
20120405:1400,5.59,26.65,420.0,706.35,107.0,218.2,2.21,272.0,99631.0
20120405:1500,5.45,27.7,310.0,646.76,88.0,229.0,2.21,272.0,99601.0
20120405:1600,4.61,34.95,182.0,508.22,67.0,251.8,1.24,255.0,99562.0
20120405:1700,3.6,43.3,60.0,289.48,31.0,223.4,1.45,203.0,99532.0
20120405:1800,1.7,47.4,0.0,-0.0,0.0,214.4,2.07,192.0,99552.0
20120405:1900,0.68,51.2,0.0,-0.0,0.0,215.4,1.86,193.0,99572.0
20120405:2000,-0.28,51.75,0.0,-0.0,0.0,213.6,1.86,197.0,99582.0
20120405:2100,-1.05,56.15,0.0,-0.0,0.0,213.0,1.66,207.0,99591.0
20120405:2200,-2.08,67.35,0.0,-0.0,0.0,213.0,1.31,221.0,99601.0
20120405:2300,-2.66,72.4,0.0,-0.0,0.0,216.8,1.1,236.0,99591.0
20120406:0000,-2.92,72.15,0.0,-0.0,0.0,210.6,1.03,248.0,99611.0
20120406:0100,-3.1,72.0,0.0,-0.0,0.0,209.2,0.97,247.0,99572.0
20120406:0200,-3.15,71.75,0.0,-0.0,0.0,210.4,0.9,237.0,99552.0
20120406:0300,-3.36,72.65,0.0,-0.0,0.0,208.4,0.9,227.0,99532.0
20120406:0400,-3.53,73.6,0.0,-0.0,0.0,210.0,0.97,218.0,99474.0
20120406:0500,-3.26,72.8,16.0,0.0,16.0,214.4,0.9,218.0,99444.0
20120406:0600,-1.45,69.3,113.0,101.2,91.0,215.0,0.69,216.0,99434.0
20120406:0700,1.37,52.5,170.0,68.5,147.0,224.6,1.17,222.0,99415.0
20120406:0800,3.07,45.1,153.0,4.57,151.0,231.6,1.93,240.0,99385.0
20120406:0900,4.39,42.9,295.0,90.91,248.0,248.4,2.14,251.0,99356.0
20120406:1000,5.3,44.2,329.0,95.16,275.0,252.0,2.34,260.0,99346.0
20120406:1100,5.9,45.9,246.0,13.65,238.0,268.8,2.34,266.0,99297.0
20120406:1200,6.42,44.7,318.0,77.03,274.0,269.2,2.55,269.0,99258.0
20120406:1300,6.42,45.2,325.0,133.54,255.0,261.8,2.48,264.0,99209.0
20120406:1400,6.7,43.3,242.0,75.87,208.0,254.8,2.62,261.0,99130.0
20120406:1500,6.49,44.1,262.0,335.98,145.0,264.8,2.62,255.0,99042.0
20120406:1600,5.75,50.8,127.0,121.06,99.0,255.4,1.93,241.0,98954.0
20120406:1700,4.18,60.25,9.0,0.0,9.0,243.8,1.79,219.0,98865.0
20120406:1800,2.39,67.0,0.0,-0.0,0.0,236.2,2.07,208.0,98787.0
20120406:1900,1.59,74.1,0.0,-0.0,0.0,268.2,1.79,207.0,98738.0
20120406:2000,1.01,78.45,0.0,-0.0,0.0,262.0,1.59,203.0,98630.0
20120406:2100,0.38,82.85,0.0,-0.0,0.0,243.6,1.45,207.0,98561.0
20120406:2200,-0.47,88.05,0.0,-0.0,0.0,235.6,1.17,215.0,98492.0
20120406:2300,-0.97,89.2,0.0,-0.0,0.0,236.4,0.97,235.0,98453.0
20120407:0000,-1.16,89.05,0.0,-0.0,0.0,233.2,0.9,292.0,98453.0
20120407:0100,-1.9,91.15,0.0,-0.0,0.0,228.2,1.45,338.0,98414.0
20120407:0200,-0.85,86.35,0.0,-0.0,0.0,237.8,2.41,2.0,98424.0
20120407:0300,-0.5,74.3,0.0,-0.0,0.0,252.6,2.76,14.0,98512.0
20120407:0400,-0.65,63.85,0.0,-0.0,0.0,261.8,2.69,20.0,98571.0
20120407:0500,-0.78,57.85,9.0,0.0,9.0,271.4,2.55,22.0,98620.0
20120407:0600,-0.76,51.95,33.0,0.0,33.0,269.2,2.55,24.0,98659.0
20120407:0700,-0.21,45.45,101.0,0.0,101.0,256.8,2.9,24.0,98659.0
20120407:0800,0.41,40.65,199.0,29.29,186.0,249.6,2.76,24.0,98679.0
20120407:0900,1.21,36.0,396.0,298.45,240.0,254.0,2.69,22.0,98639.0
20120407:1000,2.33,29.75,510.0,527.06,208.0,244.4,3.17,15.0,98620.0
20120407:1100,2.94,29.05,500.0,432.95,244.0,238.6,2.83,8.0,98541.0
20120407:1200,3.53,28.05,546.0,652.35,170.0,242.2,2.69,5.0,98512.0
20120407:1300,3.76,27.3,480.0,576.29,175.0,250.4,2.62,2.0,98482.0
20120407:1400,3.71,26.85,401.0,553.93,150.0,259.8,2.76,4.0,98473.0
20120407:1500,3.4,26.95,321.0,654.03,90.0,256.0,2.83,10.0,98473.0
20120407:1600,2.74,28.6,132.0,131.21,101.0,258.8,2.9,17.0,98492.0
20120407:1700,1.73,32.9,59.0,181.32,39.0,230.2,2.62,20.0,98522.0
20120407:1800,0.39,36.9,0.0,-0.0,0.0,227.0,2.28,16.0,98581.0
20120407:1900,-0.88,42.55,0.0,-0.0,0.0,208.8,1.79,11.0,98659.0
20120407:2000,-1.39,44.1,0.0,-0.0,0.0,209.0,1.93,8.0,98708.0
20120407:2100,-1.6,45.35,0.0,-0.0,0.0,212.0,2.14,8.0,98777.0
20120407:2200,-1.75,46.5,0.0,-0.0,0.0,213.8,2.28,7.0,98767.0
20120407:2300,-2.02,48.55,0.0,-0.0,0.0,205.8,2.34,4.0,98826.0
20120408:0000,-2.32,50.75,0.0,-0.0,0.0,201.4,2.41,2.0,98865.0
20120408:0100,-2.61,52.95,0.0,-0.0,0.0,200.4,2.48,0.0,98895.0
20120408:0200,-2.88,54.9,0.0,-0.0,0.0,199.6,2.48,359.0,98924.0
20120408:0300,-3.15,56.5,0.0,-0.0,0.0,198.0,2.41,358.0,98954.0
20120408:0400,-3.44,57.7,0.0,-0.0,0.0,196.6,2.28,355.0,98963.0
20120408:0500,-3.53,58.4,58.0,222.19,35.0,194.4,2.07,349.0,98983.0
20120408:0600,-2.95,54.75,183.0,491.74,70.0,193.6,2.48,354.0,98983.0
20120408:0700,-1.99,52.5,311.0,623.78,94.0,196.2,2.41,354.0,98973.0
20120408:0800,-0.8,47.5,427.0,707.12,109.0,198.0,2.48,355.0,98963.0
20120408:0900,0.53,39.2,515.0,738.15,125.0,201.8,2.83,3.0,98944.0
20120408:1000,1.48,34.95,573.0,762.4,132.0,225.6,2.76,2.0,98895.0
20120408:1100,2.21,31.95,591.0,755.99,140.0,236.6,2.83,358.0,98846.0
20120408:1200,2.92,29.1,564.0,706.8,153.0,249.4,2.9,355.0,98796.0
20120408:1300,3.15,28.8,504.0,658.86,152.0,264.4,2.9,354.0,98747.0
20120408:1400,3.15,29.55,389.0,475.92,171.0,259.4,2.76,352.0,98698.0
20120408:1500,3.12,29.7,311.0,561.28,110.0,263.8,2.62,347.0,98708.0
20120408:1600,2.67,33.25,202.0,567.97,65.0,267.4,2.34,338.0,98669.0
20120408:1700,1.64,40.5,60.0,164.75,41.0,225.4,1.93,331.0,98728.0
20120408:1800,-0.07,47.2,0.0,-0.0,0.0,227.8,2.0,328.0,98767.0
20120408:1900,-0.56,47.2,0.0,-0.0,0.0,210.0,2.0,337.0,98855.0
20120408:2000,-1.09,49.85,0.0,-0.0,0.0,208.6,1.93,340.0,98875.0
20120408:2100,-1.49,52.65,0.0,-0.0,0.0,207.8,1.79,342.0,98914.0
20120408:2200,-1.8,55.4,0.0,-0.0,0.0,209.4,1.72,341.0,98963.0
20120408:2300,-2.13,58.15,0.0,-0.0,0.0,206.8,1.66,339.0,98973.0
20120409:0000,-2.62,63.55,0.0,-0.0,0.0,206.2,1.59,336.0,98993.0
20120409:0100,-3.2,69.15,0.0,-0.0,0.0,206.2,1.45,331.0,99003.0
20120409:0200,-3.55,71.15,0.0,-0.0,0.0,205.6,1.38,322.0,99003.0
20120409:0300,-3.88,73.15,0.0,-0.0,0.0,205.4,1.24,312.0,98963.0
20120409:0400,-3.93,72.35,0.0,-0.0,0.0,204.8,1.03,303.0,98993.0
20120409:0500,-3.25,67.45,23.0,0.0,23.0,204.8,0.76,294.0,98963.0
20120409:0600,-1.66,62.45,162.0,288.23,94.0,209.6,0.69,288.0,98963.0
20120409:0700,-0.13,54.75,199.0,104.57,162.0,227.0,0.83,265.0,98914.0
20120409:0800,0.97,48.0,244.0,74.64,210.0,243.0,1.31,254.0,98885.0
20120409:0900,1.95,42.55,314.0,103.01,259.0,246.8,1.72,242.0,98806.0
20120409:1000,2.83,38.35,486.0,411.07,246.0,252.4,2.0,237.0,98738.0
20120409:1100,3.61,35.25,449.0,269.2,287.0,252.6,2.28,235.0,98659.0
20120409:1200,4.49,30.85,501.0,450.08,237.0,250.0,2.76,244.0,98600.0
20120409:1300,4.5,31.4,434.0,374.62,232.0,260.6,2.83,246.0,98512.0
20120409:1400,4.72,31.7,378.0,412.56,187.0,274.0,2.83,244.0,98453.0
20120409:1500,4.57,32.85,220.0,143.25,168.0,275.8,2.48,240.0,98404.0
20120409:1600,3.56,41.2,150.0,178.77,106.0,283.4,1.52,207.0,98365.0
20120409:1700,2.66,47.7,72.0,257.63,41.0,241.8,1.86,183.0,98335.0
20120409:1800,0.64,53.45,0.0,-0.0,0.0,226.4,2.28,183.0,98316.0
20120409:1900,-0.13,56.1,0.0,-0.0,0.0,217.2,1.86,185.0,98316.0
20120409:2000,-0.81,61.7,0.0,-0.0,0.0,216.0,1.79,188.0,98296.0
20120409:2100,-1.37,69.2,0.0,-0.0,0.0,215.0,1.52,181.0,98276.0
20120409:2200,-1.82,75.65,0.0,-0.0,0.0,220.6,1.38,165.0,98218.0
20120409:2300,-2.21,80.0,0.0,-0.0,0.0,218.8,1.45,153.0,98178.0
20120410:0000,-2.43,83.1,0.0,-0.0,0.0,221.6,1.52,147.0,98159.0
20120410:0100,-2.17,82.7,0.0,-0.0,0.0,227.4,1.59,144.0,98110.0
20120410:0200,-2.21,86.05,0.0,-0.0,0.0,235.0,1.66,143.0,98061.0
20120410:0300,-2.09,88.35,0.0,-0.0,0.0,245.0,1.72,146.0,98021.0
20120410:0400,-1.78,90.15,0.0,-0.0,0.0,261.0,1.79,149.0,97992.0
20120410:0500,-1.2,91.7,15.0,0.0,15.0,279.0,1.59,147.0,97943.0
20120410:0600,-0.17,90.65,69.0,0.0,69.0,291.4,2.69,159.0,97904.0
20120410:0700,0.77,89.8,124.0,5.56,122.0,300.8,3.03,162.0,97894.0
20120410:0800,1.73,83.4,179.0,10.84,174.0,307.2,3.45,165.0,97845.0
20120410:0900,2.35,77.45,216.0,11.12,210.0,305.4,3.59,163.0,97854.0
20120410:1000,2.62,75.65,253.0,16.97,243.0,297.8,3.66,154.0,97835.0
20120410:1100,3.08,71.6,232.0,6.59,228.0,298.2,4.0,148.0,97796.0
20120410:1200,3.12,69.95,170.0,0.0,170.0,304.8,4.07,143.0,97776.0
20120410:1300,2.68,73.75,110.0,0.0,110.0,306.8,3.93,140.0,97747.0
20120410:1400,2.08,79.5,114.0,0.0,114.0,308.0,3.93,138.0,97707.0
20120410:1500,1.62,85.0,105.0,0.0,105.0,307.8,3.66,135.0,97688.0
20120410:1600,1.53,86.25,64.0,0.0,64.0,308.0,3.45,133.0,97658.0
20120410:1700,1.25,90.45,37.0,7.98,36.0,310.2,2.97,130.0,97619.0
20120410:1800,0.97,93.8,0.0,-0.0,0.0,311.2,2.34,128.0,97619.0
20120410:1900,0.88,95.75,0.0,-0.0,0.0,311.8,2.34,133.0,97609.0
20120410:2000,0.8,95.75,0.0,-0.0,0.0,310.6,2.34,134.0,97619.0
20120410:2100,0.63,96.7,0.0,-0.0,0.0,306.2,2.34,131.0,97580.0
20120410:2200,0.64,96.8,0.0,-0.0,0.0,308.0,2.34,131.0,97590.0
20120410:2300,0.67,96.75,0.0,-0.0,0.0,312.6,2.41,131.0,97560.0
20120411:0000,0.65,97.1,0.0,-0.0,0.0,309.0,2.34,133.0,97570.0
20120411:0100,0.57,97.1,0.0,-0.0,0.0,313.05,2.21,132.0,97560.0
20120411:0200,0.58,97.5,0.0,-0.0,0.0,311.2,2.21,127.0,97540.0
20120411:0300,0.67,97.7,0.0,-0.0,0.0,315.0,2.34,125.0,97491.0
20120411:0400,0.76,98.0,0.0,-0.0,0.0,315.2,2.48,126.0,97433.0
20120411:0500,0.9,98.5,11.0,0.0,11.0,315.4,2.69,131.0,97423.0
20120411:0600,1.04,99.1,22.0,0.0,22.0,317.0,2.55,131.0,97383.0
20120411:0700,1.21,99.4,59.0,0.0,59.0,319.0,2.83,125.0,97325.0
20120411:0800,1.55,99.8,116.0,0.0,116.0,320.2,3.52,129.0,97285.0
20120411:0900,1.81,97.6,169.0,0.0,169.0,321.8,4.07,131.0,97256.0
20120411:1000,1.94,96.7,177.0,0.0,177.0,322.4,4.28,131.0,97226.0
20120411:1100,1.96,96.7,204.0,1.63,203.0,323.4,4.14,133.0,97168.0
20120411:1200,1.97,98.15,211.0,3.35,209.0,323.0,3.1,132.0,97158.0
20120411:1300,2.19,98.25,120.0,0.0,120.0,323.4,3.03,131.0,97148.0
20120411:1400,2.73,99.75,88.0,0.0,88.0,324.6,2.62,128.0,97089.0
20120411:1500,3.33,99.85,49.0,0.0,49.0,327.0,3.52,142.0,97040.0
20120411:1600,3.79,100.0,91.0,11.73,88.0,329.6,3.59,150.0,97011.0
20120411:1700,4.18,100.0,64.0,122.85,48.0,332.8,3.45,160.0,97050.0
20120411:1800,4.39,99.95,0.0,0.0,0.0,335.0,3.1,169.0,97109.0
20120411:1900,4.6,99.95,0.0,-0.0,0.0,336.8,2.9,171.0,97187.0
20120411:2000,4.6,100.0,0.0,-0.0,0.0,335.4,2.83,178.0,97266.0
20120411:2100,4.38,99.95,0.0,-0.0,0.0,335.0,2.83,180.0,97334.0
20120411:2200,4.02,100.0,0.0,-0.0,0.0,333.2,2.76,181.0,97383.0
20120411:2300,3.62,99.95,0.0,-0.0,0.0,329.6,2.76,180.0,97442.0
20120412:0000,3.17,99.3,0.0,-0.0,0.0,327.4,2.62,180.0,97472.0
20120412:0100,3.03,99.95,0.0,-0.0,0.0,327.85,2.41,179.0,97501.0
20120412:0200,2.82,99.95,0.0,-0.0,0.0,324.2,2.28,175.0,97511.0
20120412:0300,2.71,99.95,0.0,-0.0,0.0,326.8,2.14,173.0,97501.0
20120412:0400,2.6,100.0,0.0,0.0,0.0,323.6,1.93,173.0,97521.0
20120412:0500,2.55,100.0,28.0,0.0,28.0,321.2,1.59,173.0,97540.0
20120412:0600,2.67,100.0,41.0,0.0,41.0,323.2,1.24,170.0,97590.0
20120412:0700,3.54,99.65,58.0,0.0,58.0,329.8,1.86,182.0,97629.0
20120412:0800,3.94,99.4,142.0,0.0,142.0,322.2,2.14,192.0,97668.0
20120412:0900,4.11,99.3,183.0,1.82,182.0,314.6,1.38,177.0,97688.0
20120412:1000,4.44,98.8,123.0,0.0,123.0,317.0,1.31,175.0,97707.0
20120412:1100,4.38,99.05,182.0,0.0,182.0,318.8,1.03,196.0,97766.0
20120412:1200,4.1,99.8,143.0,0.0,143.0,317.8,0.34,201.0,97776.0
20120412:1300,3.24,99.8,154.0,0.0,154.0,318.6,0.21,74.0,97747.0
20120412:1400,2.8,99.5,124.0,0.0,124.0,320.6,0.21,56.0,97717.0
20120412:1500,2.86,99.25,133.0,5.3,131.0,321.0,0.07,332.0,97727.0
20120412:1600,3.81,98.85,148.0,130.43,114.0,319.8,0.21,239.0,97727.0
20120412:1700,3.27,96.8,33.0,0.0,33.0,304.8,0.41,225.0,97747.0
20120412:1800,2.97,96.85,0.0,0.0,0.0,307.8,0.83,213.0,97815.0
20120412:1900,2.47,97.7,0.0,-0.0,0.0,306.6,1.24,214.0,97864.0
20120412:2000,2.01,96.9,0.0,-0.0,0.0,296.4,1.31,212.0,97904.0
20120412:2100,1.76,96.4,0.0,-0.0,0.0,297.4,1.45,202.0,97933.0
20120412:2200,1.65,97.0,0.0,-0.0,0.0,302.2,1.45,198.0,97962.0
20120412:2300,1.26,97.85,0.0,-0.0,0.0,289.0,1.52,192.0,97992.0
20120413:0000,1.15,98.8,0.0,-0.0,0.0,293.2,1.45,189.0,98011.0
20120413:0100,1.24,99.4,0.0,-0.0,0.0,296.8,1.38,188.0,98051.0
20120413:0200,1.66,99.55,0.0,-0.0,0.0,321.2,1.24,189.0,98051.0
20120413:0300,1.69,99.55,0.0,-0.0,0.0,319.8,1.17,184.0,98041.0
20120413:0400,1.62,99.5,0.0,0.0,0.0,317.8,1.17,175.0,98080.0
20120413:0500,1.68,99.5,36.0,7.45,35.0,317.4,1.31,173.0,98090.0
20120413:0600,1.86,99.15,124.0,61.57,108.0,315.6,1.45,198.0,98149.0
20120413:0700,1.92,92.25,234.0,156.45,175.0,315.4,1.79,211.0,98218.0
20120413:0800,3.01,87.65,205.0,20.92,195.0,293.8,1.72,210.0,98227.0
20120413:0900,4.18,79.6,173.0,0.0,173.0,306.2,1.86,211.0,98247.0
20120413:1000,5.0,73.85,174.0,0.0,174.0,312.4,2.07,215.0,98267.0
20120413:1100,6.0,66.85,297.0,32.15,277.0,317.4,2.14,216.0,98267.0
20120413:1200,6.54,62.95,188.0,0.0,188.0,317.4,2.07,216.0,98306.0
20120413:1300,6.96,61.35,216.0,8.95,211.0,318.4,1.86,220.0,98296.0
20120413:1400,7.15,61.3,148.0,0.0,148.0,316.2,1.86,223.0,98306.0
20120413:1500,7.25,60.9,248.0,185.8,177.0,295.4,1.52,226.0,98286.0
20120413:1600,7.32,59.4,202.0,395.55,97.0,304.2,1.24,232.0,98276.0
20120413:1700,6.73,66.05,88.0,278.49,49.0,281.2,0.62,252.0,98286.0
20120413:1800,6.34,64.45,0.0,0.0,0.0,282.2,0.21,310.0,98345.0
20120413:1900,5.59,70.8,0.0,-0.0,0.0,282.6,0.48,160.0,98404.0
20120413:2000,4.9,74.6,0.0,-0.0,0.0,270.2,0.55,54.0,98433.0
20120413:2100,1.51,88.95,0.0,-0.0,0.0,269.4,1.31,24.0,98463.0
20120413:2200,0.12,92.95,0.0,-0.0,0.0,266.2,1.66,18.0,98473.0
20120413:2300,-0.32,94.3,0.0,-0.0,0.0,263.8,1.72,15.0,98502.0
20120414:0000,-0.28,93.85,0.0,-0.0,0.0,265.8,1.79,18.0,98541.0
20120414:0100,0.12,92.15,0.0,-0.0,0.0,268.4,1.86,26.0,98551.0
20120414:0200,0.0,91.7,0.0,-0.0,0.0,271.2,1.86,30.0,98581.0
20120414:0300,-0.23,90.0,0.0,-0.0,0.0,265.8,1.86,31.0,98600.0
20120414:0400,-0.34,87.85,0.0,0.0,0.0,269.4,1.86,30.0,98639.0
20120414:0500,0.04,84.4,34.0,0.0,34.0,271.0,1.86,30.0,98659.0
20120414:0600,1.21,77.35,125.0,56.45,110.0,269.6,1.79,31.0,98708.0
20120414:0700,1.67,74.9,227.0,128.01,178.0,246.4,2.34,38.0,98738.0
20120414:0800,3.12,60.3,0.0,0.0,0.0,245.4,2.34,40.0,98718.0
20120414:0900,4.74,48.0,507.0,565.1,190.0,245.6,2.28,41.0,98679.0
20120414:1000,6.13,40.65,612.0,790.27,130.0,243.2,2.14,43.0,98590.0
20120414:1100,7.33,37.25,639.0,827.72,120.0,240.6,2.0,43.0,98551.0
20120414:1200,8.09,35.8,606.0,760.9,141.0,243.0,1.93,41.0,98502.0
20120414:1300,8.63,34.7,510.0,564.55,192.0,242.0,1.86,41.0,98463.0
20120414:1400,8.79,34.35,386.0,367.73,207.0,245.4,1.86,43.0,98424.0
20120414:1500,8.77,33.95,250.0,180.97,180.0,259.8,1.93,45.0,98394.0
20120414:1600,8.28,35.2,158.0,148.04,118.0,283.6,1.93,54.0,98394.0
20120414:1700,7.17,43.65,59.0,48.31,52.0,264.2,1.59,66.0,98375.0
20120414:1800,5.43,51.15,0.0,0.0,0.0,256.4,1.72,70.0,98414.0
20120414:1900,4.22,54.8,0.0,-0.0,0.0,238.2,1.72,47.0,98433.0
20120414:2000,2.82,58.3,0.0,-0.0,0.0,232.6,1.79,44.0,98492.0
20120414:2100,1.66,61.8,0.0,-0.0,0.0,229.2,1.72,40.0,98512.0
20120414:2200,0.63,65.9,0.0,-0.0,0.0,227.6,1.59,33.0,98502.0
20120414:2300,-0.15,69.9,0.0,-0.0,0.0,233.6,1.45,25.0,98522.0
20120415:0000,-0.87,74.25,0.0,-0.0,0.0,234.0,1.38,14.0,98532.0
20120415:0100,-1.33,76.4,0.0,-0.0,0.0,234.0,1.38,10.0,98532.0
20120415:0200,-1.73,76.25,0.0,-0.0,0.0,226.6,1.45,7.0,98541.0
20120415:0300,-1.99,75.95,0.0,-0.0,0.0,225.2,1.45,3.0,98581.0
20120415:0400,-2.18,75.45,0.0,0.0,0.0,223.0,1.45,356.0,98561.0
20120415:0500,-1.69,76.25,102.0,383.05,46.0,223.8,1.31,353.0,98571.0
20120415:0600,0.82,64.15,232.0,589.3,72.0,218.0,1.17,352.0,98590.0
20120415:0700,2.68,55.3,365.0,718.33,86.0,221.6,1.59,0.0,98610.0
20120415:0800,4.38,49.0,481.0,785.43,97.0,226.4,1.59,355.0,98581.0
20120415:0900,5.65,42.75,573.0,830.13,103.0,233.6,1.86,354.0,98590.0
20120415:1000,6.53,39.85,628.0,837.47,113.0,234.8,2.0,349.0,98571.0
20120415:1100,7.67,36.9,652.0,862.49,107.0,240.2,2.14,341.0,98541.0
20120415:1200,8.09,36.25,632.0,854.09,106.0,269.8,1.79,332.0,98492.0
20120415:1300,8.13,35.45,569.0,799.38,115.0,291.8,1.59,323.0,98463.0
20120415:1400,8.2,35.55,421.0,486.37,182.0,297.6,1.52,319.0,98492.0
20120415:1500,7.88,37.1,260.0,204.37,180.0,294.6,1.31,325.0,98492.0
20120415:1600,7.61,39.7,150.0,109.13,120.0,292.2,1.03,346.0,98502.0
20120415:1700,6.95,49.85,77.0,126.9,58.0,291.4,1.03,27.0,98522.0
20120415:1800,5.74,56.2,0.0,0.0,0.0,243.4,1.31,44.0,98571.0
20120415:1900,3.76,70.9,0.0,-0.0,0.0,237.0,1.17,44.0,98620.0
20120415:2000,2.49,70.5,0.0,-0.0,0.0,233.8,1.24,52.0,98659.0
20120415:2100,1.55,71.1,0.0,-0.0,0.0,233.6,1.03,60.0,98698.0
20120415:2200,0.98,71.4,0.0,-0.0,0.0,236.2,0.97,71.0,98738.0
20120415:2300,-0.06,75.3,0.0,-0.0,0.0,233.6,1.1,77.0,98767.0
20120416:0000,-0.94,79.1,0.0,-0.0,0.0,242.0,1.45,77.0,98787.0
20120416:0100,-1.25,78.5,0.0,-0.0,0.0,236.0,1.59,78.0,98816.0
20120416:0200,-1.36,78.2,0.0,-0.0,0.0,236.4,1.59,82.0,98846.0
20120416:0300,-1.48,78.35,0.0,-0.0,0.0,237.2,1.52,84.0,98865.0
20120416:0400,-1.27,78.4,0.0,0.0,0.0,254.2,1.45,88.0,98934.0
20120416:0500,-0.45,78.85,10.0,0.0,10.0,269.0,1.24,91.0,98973.0
20120416:0600,1.41,70.85,84.0,3.61,83.0,264.6,1.03,95.0,99042.0
20120416:0700,2.81,71.4,246.0,157.39,184.0,268.8,1.31,99.0,99081.0
20120416:0800,3.55,69.95,349.0,236.72,232.0,260.4,1.52,106.0,99091.0
20120416:0900,4.72,67.8,398.0,211.79,277.0,274.6,1.66,113.0,99120.0
20120416:1000,5.69,68.6,479.0,308.11,288.0,275.4,1.86,121.0,99150.0
20120416:1100,6.57,69.5,107.0,0.0,107.0,276.2,1.66,123.0,99150.0
