time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20170523:0600,14.13,65.8,412.0,789.82,70.0,276.0,0.69,204.0,99385.0
20170523:0700,15.99,54.15,535.0,833.95,82.0,281.8,0.69,218.0,99385.0
20170523:0800,17.25,46.15,643.0,867.56,90.0,286.4,1.31,218.0,99366.0
20170523:0900,18.19,42.1,725.0,884.04,98.0,289.8,1.59,220.0,99375.0
20170523:1000,18.96,39.85,782.0,919.35,89.0,296.2,1.86,226.0,99356.0
20170523:1100,19.72,36.8,799.0,924.45,89.0,296.4,2.0,231.0,99326.0
20170523:1200,19.94,36.1,774.0,900.18,98.0,313.6,2.14,230.0,99277.0
20170523:1300,20.1,35.65,702.0,818.45,126.0,322.6,2.41,235.0,99248.0
20170523:1400,19.82,36.65,616.0,786.12,121.0,337.4,2.69,244.0,99258.0
20170523:1500,19.18,39.2,323.0,134.9,251.0,338.8,2.62,251.0,99238.0
20170523:1600,18.39,43.5,248.0,130.2,193.0,347.4,2.48,264.0,99258.0
20170523:1700,17.59,49.5,103.0,9.89,100.0,329.8,2.07,273.0,99277.0
20170523:1800,16.48,59.2,95.0,119.07,73.0,336.0,1.38,280.0,99287.0
20170523:1900,15.73,56.65,4.0,0.0,4.0,329.6,2.48,359.0,99366.0
20170523:2000,13.81,62.1,0.0,-0.0,0.0,321.4,2.9,12.0,99474.0
20170523:2100,12.25,67.95,0.0,-0.0,0.0,304.2,2.48,16.0,99552.0
20170523:2200,11.12,72.7,0.0,-0.0,0.0,297.0,2.14,15.0,99621.0
20170523:2300,10.07,76.7,0.0,-0.0,0.0,281.8,1.79,17.0,99660.0
20170524:0000,9.14,80.15,0.0,-0.0,0.0,273.2,1.59,15.0,99689.0
20170524:0100,8.28,82.8,0.0,-0.0,0.0,271.0,1.45,9.0,99699.0
20170524:0200,7.65,85.2,0.0,-0.0,0.0,272.4,1.38,1.0,99739.0
20170524:0300,7.17,87.95,51.0,311.18,24.0,271.0,1.17,359.0,99719.0
20170524:0400,7.62,89.7,149.0,464.9,57.0,264.6,0.48,351.0,99729.0
20170524:0500,10.03,76.5,280.0,675.59,66.0,267.4,0.14,348.0,99768.0
20170524:0600,11.69,64.6,352.0,448.0,157.0,278.0,0.28,273.0,99758.0
20170524:0700,13.17,56.8,427.0,372.24,224.0,278.2,0.76,269.0,99709.0
20170524:0800,14.44,50.05,444.0,222.06,302.0,286.8,1.59,266.0,99670.0
20170524:0900,14.66,48.05,612.0,485.06,267.0,329.4,2.0,268.0,99660.0
20170524:1000,15.0,47.45,616.0,388.99,322.0,332.4,2.21,269.0,99650.0
20170524:1100,15.57,47.1,660.0,467.5,300.0,328.4,2.28,270.0,99582.0
20170524:1200,16.65,46.0,568.0,289.49,350.0,324.0,2.97,282.0,99552.0
20170524:1300,16.96,46.8,446.0,144.48,344.0,338.4,3.1,293.0,99513.0
20170524:1400,16.57,49.95,474.0,302.21,283.0,361.4,2.14,307.0,99464.0
