;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dato;1;2;3;3B;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;Date;Døgnpris;;;;;;;
22.02.2022;1065,53;1060,33;1062,06;;1076,83;1107,29;1156,89;1200,49;1303,26;2031,03;1530,81;1303,46;1274,43;1235,02;1198,45;1210,77;1236,54;1272,70;1284,11;1284,62;1245,20;1198,45;1126,13;1104,33;1068,89;22.02.2022;1234,90;;;;;;;
23.02.2022;1034,94;1025,14;1019,69;;1021,51;1047,15;1117,53;1175,59;1247,68;1278,27;1234,45;1146,51;1089,96;1045,64;1017,27;1064,82;1102,58;1144,79;1166,09;1164,48;1126,01;1097,44;1099,76;1088,25;1053,21;23.02.2022;1108,70;;;;;;;
24.02.2022;1118,86;1099,09;1083,04;;1068,49;1089,86;1122,47;1189,71;1228,64;1240,08;1229,54;1209,27;1166,53;1115,35;1103,81;1119,46;1164,02;1209,07;1274,50;1278,11;1247,61;1204,36;1166,13;1138,63;1104,01;24.02.2022;1165,44;;;;;;;
25.02.2022;1213,75;1204,83;1204,22;;1199,66;1205,03;1234,21;1279,91;1332,10;1307,07;1267,15;1253,06;1239,48;1199,76;1171,59;1184,06;1212,33;1260,05;1323,28;1359,66;1349,43;1332,91;1325,11;1326,83;1308,19;25.02.2022;1262,24;;;;;;;
26.02.2022;1370,30;1377,61;1388,62;;1396,33;1404,34;1414,05;1416,25;1418,15;1440,78;1461,10;1438,57;1421,66;1398,73;1383,41;1378,71;1382,31;1412,55;1458,50;1449,79;1421,66;1407,64;1391,12;1383,41;1373,80;26.02.2022;1407,89;;;;;;;
27.02.2022;1393,02;1391,92;1390,92;;1390,32;1389,92;1384,03;1382,13;1387,43;1394,22;1397,72;1372,44;1356,15;1322,18;1309,09;1341,87;1365,15;1391,32;1407,61;1414,60;1407,71;1397,42;1383,03;1374,44;1367,24;27.02.2022;1379,66;;;;;;;
28.02.2022;1394,32;1389,62;1388,73;;1389,62;1393,52;1420,00;1437,68;1503,03;1649,31;1553,89;1498,93;1419,40;1383,23;1379,63;1390,72;1413,01;1424,20;1438,78;1438,78;1424,60;1415,20;1395,32;1390,92;1365,05;28.02.2022;1429,06;;;;;;;
01.03.2022;1382,44;1382,24;1401,57;;1415,72;1422,20;1447,11;1460,36;1523,94;1560,11;1507,70;1493,35;1488,37;1476,61;1469,73;1467,54;1466,94;1488,77;1526,43;1547,16;1536,30;1492,15;1471,33;1467,64;1463,85;01.03.2022;1473,32;;;;;;;
02.03.2022;1433,43;1425,04;1423,37;;1422,48;1423,37;1434,51;1476,63;1621,91;1958,64;1564,21;1505,33;1480,38;1469,13;1464,10;1459,56;1450,88;1466,47;1498,33;1516,08;1506,12;1479,88;1448,52;1433,82;1425,14;02.03.2022;1491,14;;;;;;;
03.03.2022;1515,86;1509,44;1506,96;;1505,09;1506,17;1526,24;1555,80;1678,87;1871,74;1742,83;1640,62;1541,37;1536,52;1537,21;1534,35;1560,84;1597,42;1649,51;1663,75;1673,93;1637,16;1580,91;1538,30;1514,08;03.03.2022;1588,54;;;;;;;
